HomeTeam,AwayTeam,HomeGoals,AwayGoals,Date,win
Arminia Bielefeld,SV Babelsberg 03,1,0,2011-11-26T14:00:00,h
VfR Aalen,VfB Stuttgart II,2,2,2011-11-26T14:00:00,d
SV Darmstadt 98,Werder Bremen II,2,0,2011-11-27T14:00:00,h
VfB Stuttgart II,SV Darmstadt 98,1,1,2011-12-02T19:00:00,d
SpVgg Unterhaching,1. FC Saarbrücken,3,2,2011-12-02T19:00:00,h
Kickers Offenbach,Preußen Münster,3,0,2011-12-02T19:00:00,h
VfL Osnabrück,VfR Aalen,0,0,2011-12-03T14:00:00,d
Werder Bremen II,Arminia Bielefeld,2,3,2011-12-03T14:00:00,a
SV Babelsberg 03,SV Wehen Wiesbaden,3,2,2011-12-03T14:00:00,h
FC Carl Zeiss Jena,Jahn Regensburg,0,1,2011-12-03T14:00:00,a
Rot-Weiss Oberhausen,FC Rot-Weiss Erfurt,0,1,2011-12-03T14:00:00,a
Chemnitzer FC,Wacker Burghausen,2,1,2011-12-03T14:00:00,h
1. FC Heidenheim 1846,SV Sandhausen,2,1,2011-12-03T14:00:00,h
Arminia Bielefeld,VfL Osnabrück,1,1,2011-12-10T14:00:00,d
SV Wehen Wiesbaden,VfB Stuttgart II,1,1,2011-12-10T14:00:00,d
Jahn Regensburg,Werder Bremen II,3,2,2011-12-10T14:00:00,h
FC Rot-Weiss Erfurt,SV Babelsberg 03,2,3,2011-12-10T14:00:00,a
Wacker Burghausen,FC Carl Zeiss Jena,4,2,2011-12-10T14:00:00,h
1. FC Saarbrücken,Rot-Weiss Oberhausen,5,2,2011-12-10T14:00:00,h
1. FC Heidenheim 1846,SpVgg Unterhaching,3,1,2011-12-10T14:00:00,h
SV Sandhausen,Kickers Offenbach,1,1,2011-12-10T14:00:00,d
Preußen Münster,Chemnitzer FC,2,2,2011-12-11T14:00:00,d
SV Darmstadt 98,VfR Aalen,1,2,2011-12-11T14:00:00,a
SV Babelsberg 03,Jahn Regensburg,0,0,2011-12-16T19:00:00,d
